system:index,EXG,EXR,ExGR,GLI1,NGRDI,RI,VARI,b1,b2,b3,lat,lon,res_m,.geo
0,15.414535,41.381508,-25.966974,0.042747956,0.023094712,-0.023094712,0.05179866,125.88375,132.8884,124.4785,-0.9190000101660988,-48.592877979882346,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592877979882346,-0.9190000101660988]}"
1,29.15667,25.589933,3.5667365,0.0999107,0.055700004,-0.055700004,0.10087472,86.37097,104.071465,92.61529,-0.9189999796929629,-48.59283308032451,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59283308032451,-0.9189999796929629]}"
2,25.795158,37.898766,-12.103605,0.04039428,0.07173989,-0.07173989,0.15096441,169.73795,173.13617,150.73924,-0.919045297853357,-48.59301264829292,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59301264829292,-0.919045297853357]}"
3,33.091496,35.804913,-2.7134159,0.051861595,0.07795799,-0.07795799,0.15884282,166.46428,175.10167,150.64755,-0.9190452673804231,-48.59296774873006,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59296774873006,-0.9190452673804231]}"
4,24.15651,42.57327,-18.416761,0.036012325,0.064574815,-0.064574815,0.13577689,177.45663,180.46204,159.31093,-0.9190452369069225,-48.59292284916869,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59292284916869,-0.9190452369069225]}"
5,26.369675,32.35679,-5.9871135,0.0654711,0.05634265,-0.05634265,0.109644815,120.79441,132.43695,117.709816,-0.9190452064328545,-48.5928779496088,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.5928779496088,-0.9190452064328545]}"
6,32.009136,20.306227,11.7029085,0.09013518,0.06393626,-0.06393626,0.12821661,90.570625,106.62105,90.66234,-0.9190451759582196,-48.5928330500504,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.5928330500504,-0.9190451759582196]}"
7,35.550743,4.4618487,31.088894,0.16499709,0.10986412,-0.10986412,0.19295704,46.37912,66.202034,50.4742,-0.9190451454830174,-48.5927881504935,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.5927881504935,-0.9190451454830174]}"
8,21.895145,24.607,-2.7118566,0.03817368,0.095741384,-0.095741384,0.22006288,156.82024,152.67142,126.62744,-0.9190905855444914,-48.59314731671879,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59314731671879,-0.9190905855444914]}"
9,27.425716,26.146399,1.2793182,0.045363553,0.09604254,-0.09604254,0.21316156,163.52869,163.04587,135.13733,-0.9190905550717602,-48.593102417150895,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.593102417150895,-0.9190905550717602]}"
10,40.4901,15.654594,24.835508,0.072750956,0.12250032,-0.12250032,0.2622525,145.06952,153.02115,120.48267,-0.9190905245984619,-48.59305751758449,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59305751758449,-0.9190905245984619]}"
11,43.661373,30.180464,13.480909,0.07490617,0.100589044,-0.100589044,0.20169955,157.62604,173.3238,145.36018,-0.9190904941245964,-48.59301261801958,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59301261801958,-0.9190904941245964]}"
12,34.8898,47.76881,-12.879006,0.057382803,0.071185164,-0.071185164,0.14087942,176.90852,191.27026,170.74219,-0.9190904636501638,-48.592967718456144,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592967718456144,-0.9190904636501638]}"
13,30.672417,31.753416,-1.0809982,0.048409015,0.088962205,-0.088962205,0.19045253,171.58894,174.95518,147.649,-0.9190904331751643,-48.592922818894216,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592922818894216,-0.9190904331751643]}"
14,33.012646,28.194872,4.8177752,0.056215245,0.095471315,-0.095471315,0.20272018,164.3394,169.15985,140.96767,-0.9190904026995974,-48.592877919333766,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592877919333766,-0.9190904026995974]}"
15,22.32794,26.654953,-4.327013,0.06451211,0.049006782,-0.049006782,0.097226575,98.279236,108.61389,96.620605,-0.9190903722234636,-48.59283301977481,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59283301977481,-0.9190903722234636]}"
16,42.072845,-0.040020168,42.112865,0.16331919,0.15323575,-0.15323575,0.28084627,59.56094,79.02627,56.418747,-0.9190903417467625,-48.592788120217335,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592788120217335,-0.9190903417467625]}"
17,22.980787,23.677454,-0.6966678,0.03811142,0.10312175,-0.10312175,0.2432881,169.8033,163.09732,133.41055,-0.919135873239502,-48.593281985159955,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.593281985159955,-0.919135873239502]}"
18,22.04449,23.34875,-1.3042595,0.041411724,0.10133525,-0.10133525,0.23248449,154.56499,150.33446,124.05943,-0.9191358427669734,-48.593237085587035,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.593237085587035,-0.9191358427669734]}"
19,27.599527,17.469788,10.129741,0.053534966,0.115438886,-0.115438886,0.26298416,144.18246,143.31366,114.845314,-0.9191358122938778,-48.59319218601559,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59319218601559,-0.9191358122938778]}"
20,25.088476,19.890383,5.1980944,0.048276428,0.11052591,-0.11052591,0.25467318,148.69174,146.21262,118.645,-0.919135781820215,-48.59314728644565,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59314728644565,-0.919135781820215]}"
21,21.786276,23.637388,-1.8511114,0.039272036,0.100748524,-0.100748524,0.23588456,156.43776,151.75056,125.277115,-0.919135751345985,-48.59310238687719,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59310238687719,-0.919135751345985]}"
22,45.12237,8.421945,36.700428,0.08219275,0.14709938,-0.14709938,0.3244496,147.43602,154.4465,116.3346,-0.919135720871188,-48.59305748731022,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59305748731022,-0.919135720871188]}"
23,59.85949,10.80021,49.05928,0.10290439,0.14772497,-0.14772497,0.30172107,150.69919,169.76797,128.97728,-0.9191356903958237,-48.59301258774474,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59301258774474,-0.9191356903958237]}"
24,61.2291,12.073505,49.155594,0.101222225,0.14604872,-0.14604872,0.30141234,157.53224,176.85521,134.94908,-0.9191356599198924,-48.59296768818075,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59296768818075,-0.9191356599198924]}"
25,39.101204,20.71302,18.388186,0.062384613,0.11682344,-0.11682344,0.25675607,169.86906,174.03967,139.10905,-0.9191356294433939,-48.592922788618246,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592922788618246,-0.9191356294433939]}"
26,34.268703,23.675486,10.593216,0.056426536,0.108080596,-0.108080596,0.23927054,169.2019,171.40796,139.34532,-0.9191355989663282,-48.59287788905724,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59287788905724,-0.9191355989663282]}"
27,33.14895,25.049885,8.099065,0.07925889,0.08614412,-0.08614412,0.16960621,126.73982,138.27454,116.6603,-0.9191355684886954,-48.592832989497715,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592832989497715,-0.9191355684886954]}"
28,25.701162,8.372294,17.328869,0.14753512,0.1156955,-0.1156955,0.19126959,42.60295,57.776695,47.24928,-0.9191355380104954,-48.59278808993969,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59278808993969,-0.9191355380104954]}"
29,25.279022,14.07931,11.199711,0.10031722,0.08480013,-0.08480013,0.1500036,62.896927,76.40313,64.63032,-0.9191355075317283,-48.592743190383146,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592743190383146,-0.9191355075317283]}"
30,32.82165,16.136549,16.685102,0.06594918,0.13860892,-0.13860892,0.3189428,161.4795,160.08788,125.87459,-0.9191811914101453,-48.59346155319586,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59346155319586,-0.9191811914101453]}"
31,28.797066,16.193378,12.603687,0.04870652,0.12592389,-0.12592389,0.30714777,169.09389,162.91151,127.93206,-0.9191811609383868,-48.593416653616416,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.593416653616416,-0.9191811609383868]}"
