system:index,EXG,EXR,ExGR,GLI1,NGRDI,RI,VARI,b1,b2,b3,lat,lon,res_m,.geo
0,78.43371,-52.99111,131.42482,0.22784074,0.4834957,-0.4834957,1.5325679,101.82658,110.76293,41.265587,-0.918999973599617,-48.59282410041314,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59282410041314,-0.918999973599617]}"
1,68.03961,-41.8365,109.876114,0.1461907,0.36224222,-0.36224222,1.3554407,143.61627,141.37874,71.1016,-0.919063419025198,-48.5930754955746,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.5930754955746,-0.919063419025198]}"
2,54.920307,-20.806501,75.726814,0.121090844,0.28044403,-0.28044403,0.87624407,143.811,143.00963,87.28795,-0.919063376363204,-48.59301263618378,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59301263618378,-0.919063376363204]}"
3,64.598495,-35.495106,100.093605,0.14833347,0.35206756,-0.35206756,1.2533475,138.83195,138.50418,73.57791,-0.9190633337000989,-48.59294977679587,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59294977679587,-0.9190633337000989]}"
4,62.191803,-42.39493,104.58674,0.1384258,0.3711811,-0.3711811,1.5626919,141.78569,135.09642,66.215355,-0.9190632910358817,-48.59288691741088,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59288691741088,-0.9190632910358817]}"
5,65.16281,-40.691116,105.85393,0.16768624,0.38235664,-0.38235664,1.2242292,117.10313,119.15622,56.0465,-0.9190632483705536,-48.59282405802882,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59282405802882,-0.9190632483705536]}"
6,63.99836,-37.04194,101.0403,0.14051962,0.34080145,-0.34080145,1.159848,139.75491,137.89592,72.03855,-0.9191268217959856,-48.593264031385075,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.593264031385075,-0.9191268217959856]}"
7,68.49739,-41.870647,110.368034,0.15116176,0.36472976,-0.36472976,1.2631108,139.54999,138.55316,69.05894,-0.919126779134389,-48.59320117198439,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59320117198439,-0.919126779134389]}"
8,67.69148,-41.224648,108.91613,0.14651471,0.3600168,-0.3600168,1.3050814,142.69911,140.73454,71.0785,-0.9191267364716807,-48.59313831258663,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59313831258663,-0.9191267364716807]}"
9,71.86006,-44.986088,116.84615,0.16550067,0.39139873,-0.39139873,1.434,132.75298,134.1512,63.68937,-0.9191266938078609,-48.59307545319177,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59307545319177,-0.9191266938078609]}"
10,67.93445,-43.45505,111.3895,0.1610616,0.39467943,-0.39467943,1.5233371,132.79266,131.9794,63.23167,-0.9191266511429294,-48.59301259379984,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59301259379984,-0.9191266511429294]}"
11,68.438255,-48.02131,116.459564,0.15779762,0.40821052,-0.40821052,1.7439588,137.38289,133.4046,60.988068,-0.9191266084768864,-48.59294973441083,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59294973441083,-0.9191266084768864]}"
12,62.567455,-43.219654,105.78711,0.1394598,0.37867674,-0.37867674,1.6623087,143.47784,136.24654,66.44777,-0.9191265658097314,-48.59288687502474,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59288687502474,-0.9191265658097314]}"
13,63.200706,-36.61043,99.811134,0.14925055,0.3540119,-0.3540119,1.2760047,130.2433,130.11732,66.790634,-0.9191265231414657,-48.59282401564156,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59282401564156,-0.9191265231414657]}"
14,103.878716,-49.934826,153.81354,0.23335639,0.4017009,-0.4017009,0.962726,120.49509,146.7714,69.16897,-0.9191264804720877,-48.592761156261304,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592761156261304,-0.9191264804720877]}"
15,79.49988,-42.227642,121.72752,0.18288422,0.365029,-0.365029,0.98141897,133.05032,141.85703,71.16384,-0.9191902245743683,-48.593452567225526,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.593452567225526,-0.9191902245743683]}"
16,61.715176,-33.268227,94.9834,0.13128151,0.3134416,-0.3134416,0.9733169,140.25644,138.60669,75.24176,-0.9191901819131693,-48.593389707814985,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.593389707814985,-0.9191901819131693]}"
17,62.176304,-35.455715,97.63202,0.14022358,0.33589277,-0.33589277,1.1124651,134.30142,133.1184,69.759056,-0.9191901392508585,-48.59332684840735,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59332684840735,-0.9191901392508585]}"
18,71.49614,-44.09297,115.5891,0.16451736,0.3844264,-0.3844264,1.3314325,132.61723,134.25874,64.40412,-0.9191900965874363,-48.59326398900264,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59326398900264,-0.9191900965874363]}"
19,70.819046,-42.822155,113.641205,0.16080725,0.37695286,-0.37695286,1.3330331,135.42548,136.62231,67.00012,-0.9191900539229023,-48.59320112960086,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59320112960086,-0.9191900539229023]}"
20,73.78008,-44.673763,118.45385,0.17269295,0.3938063,-0.3938063,1.355764,130.72418,134.24011,63.975967,-0.9191900112572565,-48.59313827020198,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59313827020198,-0.9191900112572565]}"
21,72.03175,-43.1578,115.18955,0.1701531,0.38943487,-0.38943487,1.3360715,129.7422,132.95874,64.14353,-0.9191899685904993,-48.59307541080602,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59307541080602,-0.9191899685904993]}"
22,73.42129,-48.907776,122.32906,0.17592263,0.423696,-0.423696,1.6690003,130.45735,131.40128,58.92393,-0.9191899259226302,-48.59301255141299,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59301255141299,-0.9191899259226302]}"
23,70.15251,-48.730843,118.883354,0.15816759,0.40671512,-0.40671512,1.7696062,141.13615,137.26294,63.237213,-0.9191898832536491,-48.59294969202287,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59294969202287,-0.9191898832536491]}"
24,60.970463,-41.731674,102.70213,0.13249883,0.3647621,-0.3647621,1.6284711,146.28377,138.01347,68.77271,-0.9191898405835569,-48.59288683263567,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59288683263567,-0.9191898405835569]}"
25,59.461372,-40.535507,99.99688,0.15237325,0.39031994,-0.39031994,1.5911813,123.7632,119.98827,56.75198,-0.9191897979123523,-48.5928239732514,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.5928239732514,-0.9191897979123523]}"
