system:index,EXG,EXR,ExGR,GLI1,NDVI,NGRDI,RI,VARI,lat,lon,res_m,.geo
0,-55.0,777.1999999999998,-832.1999999999998,-0.014600477829944126,0.38203958,-0.13513513,0.13513513,-0.1995870611152188,-0.9210875765719514,-48.592793242698306,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592793242698306,-0.9210875765719514]}"
1,-18.0,808.8,-826.7999999999997,-0.004675324674110306,0.39501438,-0.13693693,0.13693693,-0.19638242881370643,-0.9210875765719514,-48.59270341116989,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59270341116989,-0.9210875765719514]}"
2,-44.0,783.5999999999999,-827.5999999999999,-0.012235817571680808,0.403,-0.14697406,0.14697406,-0.21016483502049116,-0.9210875765719514,-48.59261357964148,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59261357964148,-0.9210875765719514]}"
3,42.0,604.3999999999999,-562.4000000000001,0.012781497257218048,0.4513369,-0.104413345,0.104413345,-0.15372424710481436,-0.9209977450435394,-48.592793242698306,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592793242698306,-0.9209977450435394]}"
4,6.0,680.8,-674.7999999999997,0.0017152658657189064,0.4366768,-0.118712276,0.118712276,-0.17429837505590962,-0.9209977450435394,-48.59270341116989,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59270341116989,-0.9209977450435394]}"
5,29.0,693.5999999999999,-664.5999999999999,0.008048848179836568,0.42017233,-0.11500975,0.11500975,-0.16749467695706552,-0.9209977450435394,-48.59261357964148,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59261357964148,-0.9209977450435394]}"
6,22.0,709.1999999999998,-687.1999999999998,0.006162464984268218,0.41873416,-0.12218964,0.12218964,-0.17605633790418565,-0.9209977450435394,-48.59252374811307,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59252374811307,-0.9209977450435394]}"
7,32.0,660.3999999999999,-628.4000000000001,0.00923787528601678,0.43708268,-0.11269035,0.11269035,-0.16444444432263372,-0.9209977450435394,-48.59243391658466,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59243391658466,-0.9209977450435394]}"
8,28.0,650.0,-622.0,0.008323424492174963,0.44559586,-0.11574557,0.11574557,-0.1681818180544077,-0.9209977450435394,-48.59234408505625,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59234408505625,-0.9209977450435394]}"
9,106.0,470.79999999999995,-364.7999999999997,0.034617896788171815,0.48309454,-0.064935066,0.064935066,-0.09838998202290698,-0.9209079135151275,-48.59288307422672,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59288307422672,-0.9209079135151275]}"
10,148.0,443.5999999999999,-295.5999999999999,0.050271739113358783,0.52292067,-0.058465287,0.058465287,-0.0862533691947409,-0.9209079135151275,-48.592793242698306,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592793242698306,-0.9209079135151275]}"
11,172.0,412.0,-240.0,0.06082036772955433,0.54545456,-0.050632913,0.050632913,-0.07393715335125955,-0.9209079135151275,-48.59270341116989,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59270341116989,-0.9209079135151275]}"
