system:index,EXG,EXR,ExGR,GLI1,NDVI,NGRDI,RI,VARI,lat,lon,res_m,.geo
0,678.0984405458089,-100.13547758284605,778.2339181286551,0.25206491369135975,0.75480926,0.22993046,-0.22993046,0.35189158684831773,-0.9207731662225095,-48.592927989990926,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592927989990926,-0.9207731662225095]}"
1,718.3127912998445,-137.65261522527192,855.9654065251164,0.28561075915538325,0.7701389,0.2552491,-0.2552491,0.37807268886422846,-0.9207731662225095,-48.59256866387727,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59256866387727,-0.9207731662225095]}"
2,576.9612708018154,-70.97089258698945,647.9321633888048,0.25053651432962765,0.7562395,0.21759033,-0.21759033,0.32928669727770543,-0.9207731662225095,-48.59220933776363,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59220933776363,-0.9207731662225095]}"
3,753.4895325494697,-164.37235445942076,917.8618870088901,0.2879888992189183,0.7793824,0.27189437,-0.27189437,0.408964554835446,-0.9204138401088617,-48.592927989990926,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592927989990926,-0.9204138401088617]}"
4,695.5701381509031,-141.2348034006377,836.8049415515409,0.2847347015196281,0.7800793,0.26085147,-0.26085147,0.39061072404961894,-0.9204138401088617,-48.59256866387727,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59256866387727,-0.9204138401088617]}"
5,765.5567823343846,-191.69558359621453,957.252365930599,0.3097764974302665,0.8019846,0.2943665,-0.2943665,0.4391625493247195,-0.9200545139952139,-48.592927989990926,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592927989990926,-0.9200545139952139]}"
6,633.3768725361368,-114.36982917214199,747.7467017082787,0.2738373311738448,0.7817602,0.24803656,-0.24803656,0.3736925599632249,-0.9200545139952139,-48.59256866387727,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59256866387727,-0.9200545139952139]}"
7,585.417471650567,-13.388828223435565,598.8062998740025,0.21867973883113923,0.71393985,0.18020633,-0.18020633,0.27350548491537324,-0.9196951878815661,-48.59328731610457,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59328731610457,-0.9196951878815661]}"
8,695.0906933825469,-132.1500131821777,827.2407065647244,0.2810335318845805,0.7772381,0.25676525,-0.25676525,0.3842779402953013,-0.9196951878815661,-48.592927989990926,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592927989990926,-0.9196951878815661]}"
9,529.0649960845733,-85.34236491777608,614.4073610023494,0.25681640516756343,0.7823234,0.23505442,-0.23505442,0.36118057931584086,-0.9196951878815661,-48.59256866387727,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59256866387727,-0.9196951878815661]}"
10,411.92282157676357,186.25383125864454,225.66899031811892,0.1430582766953823,0.6249466,0.06574985,-0.06574985,0.09868748488557325,-0.9193358617679183,-48.59328731610457,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59328731610457,-0.9193358617679183]}"
11,416.48469387755097,149.43387755102037,267.0508163265306,0.1586050733309453,0.630039,0.07946087,-0.07946087,0.11779308323532273,-0.9193358617679183,-48.592927989990926,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592927989990926,-0.9193358617679183]}"
