system:index,EXG,EXR,ExGR,GLI1,NGRDI,RI,VARI,b1,b2,b3,lat,lon,res_m,.geo
80,70.01212,-17.441288,87.453415,0.14641543,0.24049945,-0.24049945,0.52431905,127.32927,143.79814,90.2549,-0.919506470542971,-48.59326377704666,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59326377704666,-0.919506470542971]}"
81,66.83286,-14.678449,81.511314,0.13757122,0.22852242,-0.22852242,0.50100887,129.87875,144.84323,92.974846,-0.91950642786375,-48.593200917639344,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.593200917639344,-0.91950642786375]}"
82,60.153522,-8.08784,68.24136,0.12371441,0.21288845,-0.21288845,0.47539675,138.04091,149.65799,101.12153,-0.9195063851834168,-48.59313805823495,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59313805823495,-0.9195063851834168]}"
83,40.569107,5.2169375,35.35217,0.08310178,0.17225236,-0.17225236,0.41713348,150.47208,151.48589,111.93059,-0.9195063425019716,-48.593075198833475,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.593075198833475,-0.9195063425019716]}"
84,48.091015,-0.83448136,48.9255,0.09148957,0.18641847,-0.18641847,0.4517232,155.2908,157.72226,112.0627,-0.9195062998194143,-48.593012339434914,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.593012339434914,-0.9195062998194143]}"
85,62.77096,-10.422708,73.19367,0.11225176,0.21652284,-0.21652284,0.52300847,160.93732,168.20494,112.70159,-0.919506257135745,-48.59294948003927,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59294948003927,-0.919506257135745]}"
86,50.112503,-0.17026155,50.282764,0.086231485,0.18147145,-0.18147145,0.4487525,166.94118,168.72495,120.3962,-0.9195062144509636,-48.59288662064655,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59288662064655,-0.9195062144509636]}"
87,47.2542,0.46876684,46.785435,0.07736453,0.17909183,-0.17909183,0.46660712,177.59717,175.14482,125.43828,-0.9195061717650702,-48.59282376125675,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59282376125675,-0.9195061717650702]}"
88,57.19296,-12.933768,70.126724,0.0930622,0.21679023,-0.21679023,0.58929884,178.71559,176.299,116.68945,-0.9195061290780647,-48.59276090186987,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59276090186987,-0.9195061290780647]}"
89,48.515884,-14.849461,63.365345,0.11247653,0.21479075,-0.21479075,0.5821949,126.560394,127.92074,80.7652,-0.9195060863899471,-48.592698042485914,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592698042485914,-0.9195060863899471]}"
90,25.61395,6.4183826,19.195568,0.10173042,0.11346439,-0.11346439,0.23282555,65.71001,74.59551,57.86707,-0.9195060437007175,-48.59263518310487,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59263518310487,-0.9195060437007175]}"
91,51.106857,-0.41770047,51.524555,0.0994392,0.17884283,-0.17884283,0.40180287,142.92769,150.6837,107.332855,-0.9195697880153214,-48.59332659405805,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59332659405805,-0.9195697880153214]}"
92,66.70499,-13.802043,80.50703,0.1365337,0.22625574,-0.22625574,0.49473622,131.46468,146.46416,94.75865,-0.9195697453342749,-48.59326373464671,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59326373464671,-0.9195697453342749]}"
