system:index,EXG,EXR,ExGR,GLI1,NDVI,NGRDI,RI,VARI,lat,lon,res_m,.geo
0,733.4200290791564,-138.50465285251613,871.9246819316725,0.27724920488478033,0.76663494,0.25378567,-0.25378567,0.38101397143164845,-0.9208629977509214,-48.592838158462506,60,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592838158462506,-0.9208629977509214]}"
1,631.5107406217455,-92.96601474802699,724.4767553697726,0.2621845625931728,0.75864583,0.2292017,-0.2292017,0.34372040477418786,-0.9208629977509214,-48.59229916929203,60,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59229916929203,-0.9208629977509214]}"
2,745.8147475492374,-169.29647657188335,915.1112241211205,0.29502558812144075,0.78840774,0.27759698,-0.27759698,0.41588911761267866,-0.9203240085804497,-48.592838158462506,60,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592838158462506,-0.9203240085804497]}"
3,614.0698716629023,-102.6484823783994,716.7183540413015,0.26547862640941106,0.7723406,0.23960634,-0.23960634,0.3629671604874211,-0.9203240085804497,-48.59229916929203,60,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59229916929203,-0.9203240085804497]}"
4,669.3060285326708,-128.65200184095679,797.9580303736276,0.280414531079141,0.7804102,0.25537884,-0.25537884,0.3824659320751325,-0.9197850194099779,-48.592838158462506,60,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592838158462506,-0.9197850194099779]}"
5,412.91070986933323,187.11204551015322,225.7986643591801,0.14238272771218294,0.62678164,0.06599481,-0.06599481,0.0992807674865673,-0.9192460302395062,-48.59337714763298,60,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59337714763298,-0.9192460302395062]}"
6,399.55065871982083,123.43877038919571,276.1118883306251,0.16273590934077037,0.6539676,0.09541528,-0.09541528,0.14591341872316282,-0.9192460302395062,-48.592838158462506,60,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592838158462506,-0.9192460302395062]}"
