system:index,EXG,EXR,ExGR,GLI1,NGRDI,RI,VARI,b1,b2,b3,lat,lon,res_m,.geo
0,33.831264,11.721455,22.10981,0.062447228,0.13650757,-0.13650757,0.32045296,151.44958,150.61925,115.95765,-0.9206994508461548,-48.59296663973468,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59296663973468,-0.9206994508461548]}"
1,85.36801,-42.011703,127.379715,0.2185816,0.4005348,-0.4005348,1.0455948,108.88521,127.746,61.238785,-0.9206994325292074,-48.5929396999853,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.5929396999853,-0.9206994325292074]}"
2,126.87002,-83.070045,209.94006,0.27737242,0.5568196,-0.5568196,1.7589259,130.80797,154.26617,50.85438,-0.9206994142120558,-48.59291276023645,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59291276023645,-0.9206994142120558]}"
3,135.59903,-91.232574,226.8316,0.27471554,0.5641971,-0.5641971,1.8507177,141.14973,164.56429,52.37979,-0.9206993958946997,-48.592885820488135,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592885820488135,-0.9206993958946997]}"
4,127.40708,-92.75931,220.1664,0.25615287,0.5744734,-0.5744734,2.3717558,147.58759,162.35179,49.70891,-0.9206993775771389,-48.59285888074035,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59285888074035,-0.9206993775771389]}"
5,129.79617,-95.59728,225.39346,0.26043823,0.587228,-0.587228,2.5400805,148.3087,163.1942,48.28351,-0.9206993592593737,-48.59283194099311,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59283194099311,-0.9206993592593737]}"
6,122.97672,-87.19659,210.17331,0.27249905,0.58761054,-0.58761054,2.1739306,132.168,150.00336,44.861977,-0.9206993409414039,-48.592805001246404,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592805001246404,-0.9206993409414039]}"
7,117.530785,-84.50914,202.03992,0.25554416,0.56918347,-0.56918347,2.2462678,137.68185,151.5492,47.885754,-0.9206993226232295,-48.59277806150025,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59277806150025,-0.9206993226232295]}"
8,107.984184,-78.87452,186.8587,0.24693102,0.5627979,-0.5627979,2.349326,131.89601,142.7543,45.62842,-0.9206993043048508,-48.5927511217546,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.5927511217546,-0.9206993043048508]}"
9,109.527306,-79.69583,189.22313,0.26354003,0.5872978,-0.5872978,2.396502,124.5676,137.79836,41.501804,-0.9206992859862676,-48.59272418200951,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59272418200951,-0.9206992859862676]}"
