system:index,EXG,EXR,ExGR,GLI1,NGRDI,RI,VARI,b1,b2,b3,lat,lon,res_m,.geo
0,-2.2270794,75.951965,-78.17905,-0.0029209028,-0.004674472,0.004674472,-0.008996933,183.66183,183.31145,185.18816,-0.9206994508447973,-48.59296663973467,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59296663973467,-0.9206994508447973]}"
1,17.086695,44.03396,-26.947264,0.030021295,0.050169863,-0.050169863,0.10368035,156.83371,159.73474,145.54907,-0.9206994325278501,-48.59293969998529,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59293969998529,-0.9206994325278501]}"
2,12.409799,43.531982,-31.122183,0.019731795,0.055605486,-0.055605486,0.12263589,173.39801,168.70161,151.59543,-0.9206994142106986,-48.59291276023643,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59291276023643,-0.9206994142106986]}"
3,22.351295,29.870918,-7.5196238,0.037372965,0.08798833,-0.08798833,0.19841844,166.71985,163.65028,138.22943,-0.9206993958933423,-48.59288582048813,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59288582048813,-0.9206993958933423]}"
4,22.436884,27.289047,-4.8521633,0.038174137,0.094106674,-0.094106674,0.21556272,165.62508,161.431,134.80003,-0.9206993775757816,-48.592858880740344,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592858880740344,-0.9206993775757816]}"
5,21.489185,31.43746,-9.948275,0.036233325,0.0866672,-0.0866672,0.19511996,170.46634,166.76399,141.57246,-0.9206993592580163,-48.5928319409931,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.5928319409931,-0.9206993592580163]}"
6,16.99088,38.874653,-21.883776,0.02969759,0.0708135,-0.0708135,0.15647568,171.65068,168.31824,147.99493,-0.9206993409400465,-48.5928050012464,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.5928050012464,-0.9206993409400465]}"
7,23.50405,33.319412,-9.815362,0.043681003,0.082950726,-0.082950726,0.17740615,160.37067,161.52446,139.1742,-0.9206993226218722,-48.59277806150023,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59277806150023,-0.9206993226218722]}"
8,15.520701,37.614925,-22.094225,0.030802839,0.06850619,-0.06850619,0.15045862,156.97394,155.05968,137.62471,-0.9206993043034933,-48.592751121754596,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592751121754596,-0.9206993043034933]}"
9,20.404478,29.134335,-8.7298565,0.046158615,0.0957485,-0.0957485,0.22467014,146.28694,145.83463,124.97783,-0.9206992859849099,-48.5927241820095,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.5927241820095,-0.9206992859849099]}"
10,26.881302,23.006481,3.8748217,0.05815524,0.1176791,-0.1176791,0.28006887,148.30563,149.03789,122.88883,-0.9206992676661222,-48.59269724226495,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59269724226495,-0.9206992676661222]}"
11,16.457003,34.72783,-18.270824,0.03542379,0.07786093,-0.07786093,0.18557753,150.22598,148.93556,131.18814,-0.9206992493471297,-48.592670302520915,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592670302520915,-0.9206992493471297]}"
12,14.068102,37.31045,-23.242348,0.02741852,0.067064986,-0.067064986,0.1504458,155.46393,152.58627,135.64052,-0.9206992310279328,-48.59264336277743,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59264336277743,-0.9206992310279328]}"
13,13.20974,35.86519,-22.655449,0.029375283,0.07084065,-0.07084065,0.16092053,148.39864,145.6205,129.63264,-0.9206992127085315,-48.59261642303448,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59261642303448,-0.9206992127085315]}"
14,14.596445,38.009674,-23.413229,0.028190639,0.06369798,-0.06369798,0.14078599,154.25046,152.44186,136.0368,-0.9206991943889256,-48.592589483292066,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592589483292066,-0.9206991943889256]}"
15,11.910789,43.79751,-31.886719,0.021721212,0.04885421,-0.04885421,0.105230756,157.57793,156.1565,142.8243,-0.920699176069115,-48.59256254355019,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59256254355019,-0.920699176069115]}"
16,14.473193,42.178673,-27.70548,0.025468279,0.056797802,-0.056797802,0.124296956,161.69852,160.45503,144.73836,-0.9206991577490999,-48.59253560380885,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59253560380885,-0.9206991577490999]}"
