system:index,EXG,EXR,ExGR,GLI1,NDVI,NGRDI,RI,VARI,lat,lon,res_m,.geo
0,162.95029239766083,430.55458089668605,-267.60428849902524,0.05535663108954779,0.5137651,-0.05025468,0.05025468,-0.07480565478524194,-0.9207731662225095,-48.592927989990926,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592927989990926,-0.9207731662225095]}"
1,207.3171931641636,358.7279647850853,-151.4107716209217,0.07756592975069486,0.566971,-0.030005211,0.030005211,-0.043788367080878646,-0.9207731662225095,-48.59256866387727,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59256866387727,-0.9207731662225095]}"
2,211.18305597579425,337.521149773071,-126.33809379727684,0.08696395490921408,0.5884209,-0.011621797,0.011621797,-0.01517670671879442,-0.9207731662225095,-48.59220933776363,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59220933776363,-0.9207731662225095]}"
3,179.73214797820478,414.3316317751649,-234.59948379696007,0.06255972759931759,0.52960837,-0.046231553,0.046231553,-0.06822291685593596,-0.9204138401088617,-48.592927989990926,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592927989990926,-0.9204138401088617]}"
4,266.0281615302869,307.7405951115834,-41.712433581296445,0.0972742759392347,0.5824353,-0.0023242917,0.0023242917,-0.003355603549515854,-0.9204138401088617,-48.59256866387727,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59256866387727,-0.9204138401088617]}"
5,216.0344374342797,337.58401682439523,-121.54957939011558,0.08128192552443984,0.58097476,-0.021382263,0.021382263,-0.03178960345939908,-0.9200545139952139,-48.592927989990926,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592927989990926,-0.9200545139952139]}"
6,215.8436268068331,310.22360052562414,-94.37997371879099,0.08641800665089745,0.5930417,-0.01089657,0.01089657,-0.014389599141012779,-0.9200545139952139,-48.59256866387727,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59256866387727,-0.9200545139952139]}"
7,278.3347333053339,258.80629987400243,19.528433431331454,0.10621814162474814,0.62800634,0.01774499,-0.01774499,0.02630838824451811,-0.9196951878815661,-48.59328731610457,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59328731610457,-0.9196951878815661]}"
8,302.83812285789617,223.52011600316368,79.31800685473246,0.12149010800750704,0.6426201,0.029299837,-0.029299837,0.04302876696088344,-0.9196951878815661,-48.592927989990926,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592927989990926,-0.9196951878815661]}"
9,302.55324980422864,108.42451057165228,194.12873923257638,0.15534732664247491,0.7042074,0.096495524,-0.096495524,0.14999381110145485,-0.9196951878815661,-48.59256866387727,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59256866387727,-0.9196951878815661]}"
10,206.3585062240664,328.81615491009677,-122.45764868603037,0.08474605085195591,0.59343106,-0.017708529,0.017708529,-0.02548420631013212,-0.9193358617679183,-48.59328731610457,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59328731610457,-0.9193358617679183]}"
11,362.3426020408163,141.73887755102035,220.603724489796,0.1529044115902598,0.6756069,0.07423376,-0.07423376,0.1101657355114106,-0.9193358617679183,-48.592927989990926,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592927989990926,-0.9193358617679183]}"
