system:index,EXG,EXR,ExGR,GLI1,NDVI,NGRDI,RI,VARI,lat,lon,res_m,.geo
0,137.62668120635115,480.61886586707703,-342.9921846607258,0.049364224823203406,0.50650567,-0.062378936,0.062378936,-0.09156216071392849,-0.9208629977509214,-48.592838158462506,60,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592838158462506,-0.9208629977509214]}"
1,178.0283744787368,397.5261942932909,-219.49781981455425,0.07057088906049558,0.55754894,-0.03448752,0.03448752,-0.049153065481355285,-0.9208629977509214,-48.59229916929203,60,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59229916929203,-0.9208629977509214]}"
2,195.08669330399198,385.2797433107642,-190.19305000677235,0.06979119116608076,0.5474145,-0.03751764,0.03751764,-0.05525140839558173,-0.9203240085804497,-48.592838158462506,60,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592838158462506,-0.9203240085804497]}"
3,268.2218374416106,255.98415155837358,12.237685883237045,0.10686931348460821,0.61316055,0.01826326,-0.01826326,0.02825223802274233,-0.9203240085804497,-48.59229916929203,60,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59229916929203,-0.9203240085804497]}"
4,285.7965945701208,229.07027151450006,56.726323055620874,0.11913039693222253,0.637346,0.029200904,-0.029200904,0.04412206507059078,-0.9197850194099779,-48.592838158462506,60,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592838158462506,-0.9197850194099779]}"
5,197.28468958605322,353.82809794915613,-156.54340836310288,0.08024932483569949,0.58340156,-0.023932356,0.023932356,-0.03434596689603537,-0.9192460302395062,-48.59337714763298,60,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59337714763298,-0.9192460302395062]}"
6,362.35696361450533,103.49974905850213,258.85721455600316,0.1690326829541369,0.7012565,0.10513979,-0.10513979,0.16225702700114586,-0.9192460302395062,-48.592838158462506,60,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592838158462506,-0.9192460302395062]}"
