system:index,EXG,EXR,ExGR,GLI1,NDVI,NGRDI,RI,VARI,lat,lon,res_m,.geo
0,695.1643356643356,-70.76188811188815,765.926223776224,0.241636544869924,0.7288564,0.20793991,-0.20793991,0.314596339727103,-0.9210426608077453,-48.59283815846251,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59283815846251,-0.9210426608077453]}"
1,827.9222689075631,-204.9350840336135,1032.8573529411765,0.30985922640860736,0.78693104,0.2927695,-0.2927695,0.4353729479963058,-0.9210426608077453,-48.592658495405686,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592658495405686,-0.9210426608077453]}"
2,759.0372093023257,-156.27069767441864,915.3079069767441,0.29491199858665296,0.77104455,0.2654574,-0.2654574,0.39143398176334354,-0.9210426608077453,-48.59247883234887,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59247883234887,-0.9210426608077453]}"
3,680.870238095238,-89.267380952381,770.1376190476192,0.24767475739129893,0.74634635,0.2217287,-0.2217287,0.33835450000217054,-0.9208629977509215,-48.59283815846251,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59283815846251,-0.9208629977509215]}"
4,826.1703470031546,-207.64416403785495,1033.8145110410096,0.31602294536421915,0.78500754,0.29715896,-0.29715896,0.4388005525050914,-0.9208629977509215,-48.592658495405686,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592658495405686,-0.9208629977509215]}"
5,747.2554585152837,-158.27161572052407,905.5270742358078,0.295312032333498,0.776051,0.26870474,-0.26870474,0.39781842467046974,-0.9208629977509215,-48.59247883234887,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59247883234887,-0.9208629977509215]}"
6,622.0,-74.70000000000005,696.7,0.2537361624788627,0.75269806,0.21604723,-0.21604723,0.3232451357169436,-0.9208629977509215,-48.59229916929204,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59229916929204,-0.9208629977509215]}"
7,540.4096109839817,-79.75446224256297,620.1640732265448,0.2534032290001822,0.76642334,0.22869587,-0.22869587,0.35027874533441156,-0.9208629977509215,-48.592119506235214,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592119506235214,-0.9208629977509215]}"
8,725.7058189655172,-149.83965517241384,875.545474137931,0.2785204053207465,0.7785243,0.26177567,-0.26177567,0.3978614733406412,-0.9206833346940976,-48.59283815846251,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59283815846251,-0.9206833346940976]}"
9,689.5538461538462,-126.69846153846163,816.2523076923078,0.2814851427040168,0.77594924,0.25051814,-0.25051814,0.37182959626674994,-0.9206833346940976,-48.592658495405686,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592658495405686,-0.9206833346940976]}"
10,619.25,-64.35000000000005,683.6,0.2524873481008013,0.7454129,0.20861286,-0.20861286,0.3096881035324287,-0.9206833346940976,-48.59247883234887,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59247883234887,-0.9206833346940976]}"
