system:index,EXG,EXR,ExGR,GLI1,NGRDI,RI,VARI,b1,b2,b3,lat,lon,res_m,.geo
61,58.93766,-40.001163,98.93882,0.14718439,0.3880441,-0.3880441,1.7333635,129.20128,124.107414,60.075897,-0.9192259610204717,-48.59283292893909,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59283292893909,-0.9192259610204717]}"
62,57.167667,-40.577183,97.74485,0.19229187,0.46061367,-0.46061367,1.9293842,92.33259,93.73509,37.969936,-0.9192259305392736,-48.592788029379925,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592788029379925,-0.9192259305392736]}"
63,59.460636,-36.80773,96.268364,0.25447327,0.48579577,-0.48579577,1.3809845,66.01047,77.13989,28.80869,-0.9192259000575087,-48.59274312982225,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59274312982225,-0.9192259000575087]}"
64,73.36311,-38.74301,112.106125,0.15711278,0.34150922,-0.34150922,1.0179986,138.00563,142.87401,74.37929,-0.9192715839838612,-48.593461492650036,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.593461492650036,-0.9192715839838612]}"
65,62.013382,-33.191856,95.20524,0.1360901,0.32499596,-0.32499596,1.0959455,137.78365,136.95776,74.11851,-0.919271553509106,-48.59341659306945,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59341659306945,-0.919271553509106]}"
66,65.86923,-37.368633,103.23787,0.1503447,0.35688552,-0.35688552,1.3453318,136.11983,136.34225,70.69545,-0.9192715230337832,-48.59337169349037,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59337169349037,-0.9192715230337832]}"
67,65.162315,-38.979404,104.14172,0.16262703,0.38515544,-0.38515544,1.5439801,125.04738,126.28565,62.361603,-0.9192714925578928,-48.59332679391278,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59332679391278,-0.9192714925578928]}"
68,71.13102,-42.113144,113.24416,0.17757274,0.4020214,-0.4020214,1.4870746,123.891426,128.28793,61.55342,-0.9192714620814364,-48.593281894336684,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.593281894336684,-0.9192714620814364]}"
69,67.55594,-40.533104,108.08904,0.16810042,0.39558092,-0.39558092,1.5839648,127.165634,128.93172,63.141865,-0.9192714316044116,-48.59323699476205,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59323699476205,-0.9192714316044116]}"
70,60.73045,-36.54793,97.27838,0.15032722,0.37897876,-0.37897876,1.6178906,131.75352,129.40535,66.32673,-0.9192714011268199,-48.59319209518893,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59319209518893,-0.9192714011268199]}"
